"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","polymer","plastic_or_not","Length..microns.","Width..microns.","material.1","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"91",91,"Polyesters","fiber","POLYESTERS","fiber","SAD","Stormflow","1","RB","Outside Thalweg_1",0.63,"SF-2","SAD-SF-2-N-1","SAD-SF-2","SAD-SF-2-N-1_S0-0_G_38",38,"red","Fiber","Red",0,"0","0","0.033",0.951,0.528,"0","Y","SAD-SF-2-N-1_S0-0_G_38.SPA","Y",0.7,"PEST","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYESTERS","0","plastic",951,528,NA,0.951,475.5,238.2255,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,0.951,475.5,238.2255,238.2255,0.000951,0.000528,0.0002382255,0.336187086459716,0.0002382255,998,1010,0.0120240480961924,1.16831912099478,NA,0.00233286177192221,0.555747162047056,6.88444100877124,0.00233286177192221
"92",92,"PAN","fiber","POLY(ACRYLONITRILE)","fiber","SAD","Stormflow","1","RB","Outside Thalweg_1",0.63,"SF-2","SAD-SF-2-N-1","SAD-SF-2","SAD-SF-2-N-1_S0-0_H_17",17,"blue","Fiber","Blue",0,"0","0","0.055",1.892,0.729,"0","Y","SAD-SF-2-N-1_S0-0_H_17.SPA","Y",0.8,"Acrylic 1. Green Yarn Fiber","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyacrylonitriles (Nitriles)","POLY(ACRYLONITRILE)","plastic",1892,729,NA,1.892,946,473.946,1.18e-09,1.15e-09,1.21e-09,1.16e-09,1.2e-09,1.892,946,473.946,473.946,0.001892,0.000729,0.000473946,0.40355667217173,0.000473946,998,1180,0.182364729458918,5.75350039123421,NA,0.0235245643395613,11.1493731704777,2.04283962996825,0.0235245643395613
"93",93,"Polyesters","fiber","POLYESTERS","fiber","SAD","Stormflow","1","RB","Outside Thalweg_1",0.63,"SF-2","SAD-SF-2-N-1","SAD-SF-2","SAD-SF-2-N-1_S0-0_L_31",31,"black","Fiber","Black",0,"0","0","0.18",1.756,1.062,"0","Y","SAD-SF-2-N-1_S0-0_L_31.SPA","Y",0.9,"PEST","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYESTERS","0","plastic",1756,1062,NA,1.756,878,439.878,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,1.756,878,439.878,439.878,0.001756,0.001062,0.000439878,0.322112610585654,0.000439878,998,1010,0.0120240480961924,2.1572748438137,NA,0.00413087151450026,1.81707950005535,4.0542200444062,0.00413087151450026
"94",94,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","1","RB","Outside Thalweg_1",0.63,"SF-2","SAD-SF-2-N-1","SAD-SF-2","SAD-SF-2-N-1_S0-0_M_10",10,"black","Fiber","Black",0,"0","0","0.085",1.966,0.889,"0","Y","SAD-SF-2-N-1_S0-0_M_10.SPA","Y",0.7,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1966,889,NA,1.966,983,492.483,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.966,983,492.483,492.483,0.001966,0.000889,0.000492483,0.372519152692328,0.000492483,998,1450,0.452905811623247,8.09624317577759,NA,0.0421533666290302,20.7598164575647,1.6418835421657,0.0421533666290302
"95",95,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","1","RB","Outside Thalweg_1",0.63,"SF-2","SAD-SF-2-N-1","SAD-SF-2","SAD-SF-2-N-1_S0-0_M_14",14,"black","Fiber","Black",0,"0","0","0.042",1.291,0.875,"0","Y","SAD-SF-2-N-1_S0-0_M_14.SPA","Y",0.8,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1291,875,NA,1.291,645.5,323.3955,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.291,645.5,323.3955,323.3955,0.001291,0.000875,0.0003233955,0.304275387953554,0.0003233955,998,1450,0.452905811623247,5.31650556456199,NA,0.0306029863355509,9.89686806747865,2.04560602066239,0.0306029863355509
"96",96,"Polyamides (POLYLACTAMS)","fiber","POLYAMIDES (POLYLACTAMS)","fiber","SAD","Stormflow","2","C","Inside Thalweg",1.19,"SF-2","SAD-SF-2-N-2","SAD-SF-2","SAD-SF-2-N-2_S0-0_M_41",41,"clear","Fiber","Transparent",0,"0","0","0.001",20.658,2.47,"20.658","Y","SAD-SF-2-N-2_S0-0_M_41.SPA","Y",0.9,"PA66","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYAMIDES (POLYLACTAMS)","0","plastic",20658,2470,NA,20.658,2470,1245.329,1.15e-09,9.08e-10,1.7e-09,8.86e-10,1.4e-09,20.658,10329,5174.829,1245.329,0.020658,0.00247,0.001245329,0.174337770784738,0.001245329,998,1150,0.152304609218437,14.2367694778075,NA,0.0493953277008404,61.5134340503599,1.01679441082398,0.0493953277008404
"97",97,"PAN","fiber","POLY(ACRYLONITRILE)","fiber","SAD","Stormflow","2","C","Inside Thalweg",1.19,"SF-2","SAD-SF-2-N-2","SAD-SF-2","SAD-SF-2-N-2_S0-0_Q_6",6,"purple","Fiber","Blue",0,"0","0","0.000147",2.368,0.248,"2.368","Y","SAD-SF-2-N-2_S0-0_Q_6.SPA","Y",0.8,"Acrylic 1. Green Yarn Fiber","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyacrylonitriles (Nitriles)","POLY(ACRYLONITRILE)","plastic",2368,248,NA,2.368,248,125.184,1.18e-09,1.15e-09,1.21e-09,1.16e-09,1.2e-09,2.368,1184,593.184,125.184,0.002368,0.000248,0.000125184,0.163354888292964,0.000125184,998,1180,0.182364729458918,1.51967986432265,NA,0.00754981682083269,0.945116268899119,5.23871275188159,0.00754981682083269
"98",98,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","2","C","Inside Thalweg",1.19,"SF-2","SAD-SF-2-N-2","SAD-SF-2","SAD-SF-2-N-2_S0-0_R_41",41,"black","Fiber","Black",0,"0","0","0.000147",1.69,0.427,"1.69","Y","SAD-SF-2-N-2_S0-0_R_41.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1690,427,NA,1.69,845,423.345,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.69,845,423.345,423.345,0.00169,0.000427,0.000423345,0.498353078046205,0.000423345,998,1450,0.452905811623247,6.95963935252499,NA,0.0362816037890145,15.3596355560604,1.90518485140079,0.0362816037890145
"99",99,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","2","C","Inside Thalweg",1.19,"SF-2","SAD-SF-2-N-2","SAD-SF-2","SAD-SF-2-N-2_S0-0_S_26",26,"white","Fiber","White",0,"0","0","0.000196",2.626,0.528,"2.626","Y","SAD-SF-2-N-2_S0-0_S_26.SPA","Y",0.9,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",2626,528,NA,2.626,528,265.313,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,2.626,1313,657.813,265.313,0.002626,0.000528,0.000265313,0.2253171287081,0.000265313,998,1450,0.452905811623247,4.36165018019928,NA,0.0264331185584756,7.01304998410483,2.24945526182613,0.0264331185584756
"100",100,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_F_46",46,"black","Fiber","Black",0,"0","0","0.000148",2.087,0.597,"2.087","Y","SAD-SF-2-N-3_S0-0_F_46.SPA","Y",0.9,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",2087,597,NA,2.087,1043.5,522.7935,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,2.087,1043.5,522.7935,522.7935,0.002087,0.000597,0.0005227935,0.468362148084998,0.0005227935,998,1450,0.452905811623247,8.5945368808992,NA,0.0429897947166569,22.4747852442026,1.67577255776403,0.0429897947166569
"101",101,"PE","fiber","POLY(ETHYLENE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_H_7",7,"blue","Fiber","Blue",0,"0","0","0.000254",2.552,0.558,"2.552","Y","SAD-SF-2-N-3_S0-0_H_7.SPA","Y",0.8,"MDPE","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",2552,558,NA,2.552,558,280.276,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,2.552,1276,639.276,280.276,0.002552,0.000558,0.000280276,0.234870502135888,0.000280276,998,1010,0.0120240480961924,1.37454558792376,NA,0.0027471432855812,0.769958331509558,5.8409264237155,0.0027471432855812
"102",102,"PET","fiber bundle","POLY(ETHYLENE TEREPHTHALATE)","fiber bundle","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_H_8",8,"black","Fiber","Black",0,"0","0","0.242",3.952,1.379,"0","Y","SAD-SF-2-N-3_S0-0_H_8.SPA","Y",0.9,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",3952,1379,NA,3.952,395.2,199.576,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,395.2,3952,2173.6,199.576,0.003952,0.001379,0.000199576,0.0854904716308574,0.000199576,998,1450,0.452905811623247,3.28095757223902,NA,0.0214803163629705,4.2869556184562,2.56237450635976,0.0214803163629705
"103",103,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_H_18",18,"clear","Fiber","Transparent",0,"0","0","0.00089",12.552,1.767,"12.552","Y","SAD-SF-2-N-3_S0-0_H_18.SPA","Y",0.8,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",12552,1767,NA,12.552,1767,889.776,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,12.552,6276,3144.276,889.776,0.012552,0.001767,0.000889776,0.188932185023126,0.000889776,998,1450,0.452905811623247,14.6275970296857,NA,0.0717907747477191,63.8777083919265,1.02272540581171,0.0717907747477191
"104",104,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_I_14",14,"black","Fiber","Black",0,"0","0","0.000191",1.835,0.478,"1.835","Y","SAD-SF-2-N-3_S0-0_I_14.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1835,478,NA,1.835,917.5,459.6675,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.835,917.5,459.6675,459.6675,0.001835,0.000478,0.0004596675,0.490808207072485,0.0004596675,998,1450,0.452905811623247,7.55676817271204,NA,0.0387410247893621,17.8079900123641,1.81433394935772,0.0387410247893621
"105",105,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_I_26",26,"black","Fiber","Black",0,"0","0","0.000191",1.564,0.541,"1.564","Y","SAD-SF-2-N-3_S0-0_I_26.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1564,541,NA,1.564,782,391.782,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.564,782,391.782,391.782,0.001564,0.000541,0.000391782,0.425919449050501,0.000391782,998,1450,0.452905811623247,6.44075499843141,NA,0.0347021198174418,13.595665906317,1.92729460862003,0.0347021198174418
"106",106,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_L_9",9,"blue","Fiber","Blue",0,"0","0","0.000318",3.837,0.417,"3.837","Y","SAD-SF-2-N-3_S0-0_L_9.SPA","Y",0.8,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",3837,417,NA,3.837,417,210.4185,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,3.837,1918.5,961.1685,210.4185,0.003837,0.000417,0.0002104185,0.166348922928752,0.0002104185,998,1450,0.452905811623247,3.45920436783068,NA,0.0219092252465768,4.61010631254683,2.59684194386911,0.0219092252465768
"107",107,"PVC","fiber","POLY(VINYL CHLORIDE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_O_12",12,"pink","Fiber","Red",0,"thick","done","0.000318",3.909,0.246,"3.909","Y","SAD-SF-2-N-3_S0-0_O_12.SPA","Y",0.8,"PVC.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyhaloolefins (Vinylhalides)","POLY(VINYL CHLORIDE)","plastic",3909,246,NA,3.909,246,124.9545,1.33e-09,1.33e-09,1.33e-09,1.33e-09,1.33e-09,3.909,1954.5,979.2045,124.9545,0.003909,0.000246,0.0001249545,0.127424081642618,0.0001249545,998,1330,0.332665330661323,1.85343524633255,NA,0.0112075648809331,1.40043566591455,4.32857218184331,0.0112075648809331
"108",108,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_O_55",55,"black","Fiber","Black",0,"0","0","0.000191",2.289,0.411,"2.289","Y","SAD-SF-2-N-3_S0-0_O_55.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",2289,411,NA,2.289,411,206.6445,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,2.289,1144.5,573.3945,206.6445,0.002289,0.000411,0.0002066445,0.21304926654804,0.0002066445,998,1450,0.452905811623247,3.39716116685646,NA,0.0212821808076741,4.39784561191142,2.70275843351379,0.0212821808076741
"109",109,"EVA","fiber","ETHYLENE-VINYL ACETATE","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_O_56",56,"red","Fiber","Red",0,"0","0","0.000254",2.282,0.513,"2.282","Y","SAD-SF-2-N-3_S0-0_O_56.SPA","Y",0.7,"PEVA 10. Yellow Fiber","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Other Plastic","ETHYLENE-VINYL ACETATE","plastic",2282,513,NA,2.282,513,257.641,9.39e-10,9.31e-10,9.47e-10,9.34e-10,9.44e-10,2.282,1141,571.641,257.641,0.002282,0.000513,0.000257641,0.238121425380249,0.000257641,998,939,0.0591182364729459,2.14854837020956,NA,0.00451901838999487,1.16428441701667,9.75564465897534,-0.00451901838999487
"110",110,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_P_62",62,"black","Fiber","Black",0,"0","0","0.000191",1.792,0.327,"1.792","Y","SAD-SF-2-N-3_S0-0_P_62.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1792,327,NA,1.792,327,164.396,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.792,896,448.896,164.396,0.001792,0.000327,0.000164396,0.21475751366003,0.000164396,998,1450,0.452905811623247,2.70261104063517,NA,0.0173122225983591,2.84606014627984,3.24938542914703,0.0173122225983591
"111",111,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SAD","Stormflow","2","C","Inside Thalweg",1.19,"SF-2","SAD-SF-2-N-2","SAD-SF-2","SAD-SF-2-N-2_S0-0_E_19",19,"black","Fiber","Black",0,"0","0","0.03",3.869,1.126,"3.869","Y","SAD-SF-2-N-2_S0-0_E_19.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",3869,1126,NA,3.869,1934.5,969.1845,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,3.869,1934.5,969.1845,969.1845,0.003869,0.001126,0.0009691845,0.464341927486276,0.0009691845,998,1450,0.452905811623247,15.9330441745084,NA,0.0674278367801364,65.3500142758381,1.26282637457236,0.0674278367801364
"112",144,"PET","fragment","POLY(ETHYLENE TEREPHTHALATE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_7",7,"black","Non-Fiber","Black",0,"0","0","0.02",0.347,0.122,"0","Y","SAD-DF-1-N-1_S0-0_A_7.SPA","Y",0.7,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",347,122,NA,3.47,122,62.735,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,34.7,347,190.85,62.735,0.000347,0.000122,6.2735e-05,0.304905493816826,0.000138484043568309,998,1450,0.452905811623247,2.27662780785124,4.6,0.00957007999891678,1.32530337552219,8.95744679174245,0.00957007999891678
"113",145,"PP","fragment","POLY(PROPYLENE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_29",29,"black","Non-Fiber","Black",0,"particle could be flattened.","0","0.185",0.839,0.582,"0","Y","SAD-DF-1-N-1_S0-0_A_29.SPA","Y",0.8,"PP 52. White Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",839,582,NA,8.39,839,423.695,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,83.9,839,461.45,423.695,0.000839,0.000582,0.000423695,0.606332526178833,0.000591442816683035,998,1000,0.00200400801603218,1.5962549195047,4.6,0.00178643942689856,1.05657676647851,4.85784182402538,0.00178643942689856
"114",146,"PET","fragment","POLY(ETHYLENE TEREPHTHALATE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_4",4,"pink","Non-Fiber","Red",0,"0","0","0.277",1.283,0.471,"0","Y","SAD-DF-1-N-1_S0-0_B_4.SPA","Y",0.7,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1283,471,NA,12.83,471,241.915,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,128.3,1283,705.65,241.915,0.001283,0.000471,0.000241915,0.311199589885362,0.00052678910831413,998,1450,0.452905811623247,8.66022324275608,4.6,0.0282117137695156,14.8616235406566,3.92096970460393,0.0282117137695156
"115",147,"PET","fragment","POLY(ETHYLENE TEREPHTHALATE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_5",5,"pink","Non-Fiber","Red",0,"0","0","0.401",1.066,0.579,"0","Y","SAD-DF-1-N-1_S0-0_B_5.SPA","Y",0.8,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1066,579,NA,10.66,1066,538.33,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,106.6,1066,586.3,538.33,0.001066,0.000579,0.00053833,0.685221054053964,0.000692619610418464,998,1450,0.452905811623247,11.3864169814191,4.6,0.0563885433440653,39.0558109230312,1.29041282166993,0.0563885433440653
"116",148,"PET","rubbery fragment","POLY(ETHYLENE TEREPHTHALATE)","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_6",6,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.096",0.572,0.374,"0","Y","SAD-DF-1-N-1_S0-0_B_6.SPA","Y",0.7,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",572,374,NA,5.72,572,288.86,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,57.2,572,314.6,288.86,0.000572,0.000374,0.00028886,0.624530411824851,0.000395352976326789,998,1450,0.452905811623247,6.4994605633273,4.6,0.0340578159834767,13.4648589162576,2.01914292184988,0.0340578159834767
"117",149,"PE","fragment","POLY(ETHYLENE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_7",7,"black","Non-Fiber","Black",0,"could make dents in the particle.","0","0.991",1.436,0.986,"0","Y","SAD-DF-1-N-1_S0-0_B_7.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1436,986,NA,14.36,1436,725.18,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,143.6,1436,789.8,725.18,0.001436,0.000986,0.00072518,0.609438856720784,0.0010088479696343,998,1010,0.0120240480961924,4.9476499077576,4.6,0.00804898244543435,8.12019959769854,2.44907571921983,0.00804898244543435
"118",150,"CA","fragment","CELLULOSE ACETATE","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_13",13,"black","Non-Fiber","Black",0,"particle could be flattened, broke into multiple pieces.","0","0.148",0.553,0.346,"0","Y","SAD-DF-1-N-1_S0-0_B_13.SPA","Y",0.8,"CA","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Cellulose Derivatives (Ether Cellulose)","CELLULOSE ACETATE","plastic",553,346,NA,5.53,553,279.265,1.3e-09,1.27e-09,1.33e-09,1.28e-09,1.32e-09,55.3,553,304.15,279.265,0.000553,0.000346,0.000279265,0.638433833780453,0.000376651105542255,998,1300,0.302605210420842,5.41320386035527,4.6,0.0260638560511663,9.816980196366,2.1945529067853,0.0260638560511663
"119",151,"Polyesters","rubbery fragment","POLYESTERS","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_14",14,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","3.857",2.92,1.838,"0","Y","SAD-DF-1-N-1_S0-0_B_14.SPA","Y",0.7,"Polyesther from TS-1861 Block (Safi plaster)","Kimmel_Center","0","absorbance","0","Organic Materials, Minerals, Archeology","POLYESTERS","0","plastic",2920,1838,NA,29.2,2920,1474.6,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,292,2920,1606,1474.6,0.00292,0.001838,0.0014746,0.636517063171427,0.00199281750475874,998,1010,0.0120240480961924,9.77328957421748,4.6,0.0142423734779189,28.3824511761085,1.54511652711557,0.0142423734779189
"120",152,"PE","fragment","POLY(ETHYLENE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_10",10,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.241",1.12,0.498,"0","Y","SAD-DF-1-N-1_S0-0_C_10.SPA","Y",0.7,"Polyethylene, low Mw ~4,000 by GPC","NIST Chem Web Book","0","Reflectance","0","Polymer, Minerals, Organic Materials","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1120,498,NA,11.2,498,254.6,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,112,1120,616,254.6,0.00112,0.000498,0.0002546,0.340906056246164,0.00052171732026703,998,1010,0.0120240480961924,2.55863591858188,4.6,0.00335159358352034,1.74858442301841,7.30450857151384,0.00335159358352034
"121",153,"PE","fragment","POLY(ETHYLENE)","fragment","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_27",27,"white","Non-Fiber","White",0,"hard texture.","0","1.836",2.454,1.545,"0","Y","SAD-DF-1-N-1_S0-0_C_27.SPA","Y",0.9,"ULDPE","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",2454,1545,NA,24.54,2454,1239.27,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,245.4,2454,1349.7,1239.27,0.002454,0.001545,0.00123927,0.63645018261562,0.00167490299651798,998,1010,0.0120240480961924,8.21415506166809,4.6,0.0123928928087646,20.756893300926,1.71515242487186,0.0123928928087646
